TimeEstimation,TimeReal,clear_description,counting,current_trial,current_type,english_first,user_id_concent,video_really_lasted,TimeOfDay,alone,knew
12,32,Somewhat unclear,No,2102,prosp_hl,Yes,anpXQWJayP5qlyz,32002,,No,
1.5,2,Somewhat unclear,No,1933,prosp_hl,Yes,l0q1U4T4eIpNeJB,2003,,Yes,
15,16,Clear,No,1056,prosp_hl,No,IS0E6WCQwCisT44,16255,,Yes,
30,24,Somewhat unclear,No,4240,prosp_hl,Yes,IzAwkkvaJTfMs2g,29334,,No,
20,32,Completely clear,No,3947,prosp_hl,Yes,jqHLUtZro20PojC,33178,,No,
60,64,Clear,No,2909,prosp_hl,Yes,EB53LcLNRudmUWr,64256,,Yes,
4,4,Completely clear,No,3719,prosp_hl,Yes,DNKrGAOOeZDJw1c,4772,,Yes,
3,6,Clear,No,4204,prosp_hl,Yes,u4jX1nKZQia6nd3,6003,,No,
3,4,Clear,No,896,prosp_hl,Yes,EVCxN0svXh4Py7b,4001,,Yes,
5,4,Completely clear,No,2991,prosp_hl,Yes,UusdSTNLPpdcUs4,4264,,Yes,
6,24,Completely clear,No,3015,prosp_hl,Yes,MI6aKmXkhcLmpLb,24254,,Yes,
14,32,Clear,No,2639,prosp_hl,Yes,qmuBnQLXa8XcTNa,32007,,Yes,
0.5,1,Clear,No,842,prosp_hl,No,r4HQtboJcDhfeTF,1251,,Yes,
4,4,Completely clear,No,3030,prosp_hl,Yes,KNwAUJGzHYdEnK0,4259,,Yes,
9,16,Clear,No,2235,prosp_hl,Yes,DceqHl2PuSxCViu,16131,,Yes,
40,48,Clear,No,2459,prosp_hl,Yes,eGbUfuTM8luErcF,48251,,No,
20,3,Completely clear,No,2374,prosp_hl,Yes,cYL7nb8hG0bYWZv,14941,,No,
4,1,Completely clear,No,3694,prosp_hl,No,mZRYZy1ZpFTNBec,20247,,Yes,
90,48,Completely clear,No,2321,prosp_hl,Yes,kZy0LaIBk2Gs0HF,48423,,Yes,
10,6,Clear,No,4175,prosp_hl,No,eYCOWHt64Zy7Hzv,6147,,Yes,
35,48,Clear,No,4111,prosp_hl,Yes,rtaOINWCyiQxL0A,48254,,Yes,
3,1,Clear,No,3276,prosp_hl,Yes,zue4OfRLw5aIhGK,1251,,No,
20,24,Completely clear,No,4060,prosp_hl,Yes,wE5MJ0x4YvGhObi,24257,,Yes,
25,6,Completely clear,No,971,prosp_hl,Yes,cJWycePWUWJKfdT,11877,,Yes,
45,24,Clear,No,2196,prosp_hl,Yes,JmGGweIBZUpWath,24188,,Yes,
90,64,Completely clear,No,3833,prosp_hl,Yes,a1NuGXLptIHx7DX,64256,,Yes,
20,24,Completely clear,No,2314,prosp_hl,Yes,iRk0PWOt9kuYRhJ,24003,,Yes,
5,12,Completely clear,No,2122,prosp_hl,No,YeeaIQKmvzxXXpe,12001,,No,
10,6,Completely clear,No,2108,prosp_hl,Yes,CRfTQTQftsKOdum,6003,,Yes,
15,24,Clear,No,1975,prosp_hl,No,yq5Om2Fv6laFyxH,24004,,No,
10,12,Completely clear,Yes,4157,prosp_hl,Yes,NrLCyjQ4muTEibd,12252,,Yes,
65,64,Completely clear,No,940,prosp_hl,Yes,FfG4MqOZSWKUKWu,64250,,Yes,
15,24,Clear,No,767,prosp_hl,Yes,rI1qelN8z09M1j5,24253,,No,
5,6,Somewhat unclear,No,726,prosp_hl,Yes,C0jb5DBtaRiyTWz,6252,,Yes,
2,1,Clear,Yes,750,prosp_hl,No,rHhGWgEGSjVdsVZ,1254,,Yes,
40,32,Completely clear,No,1619,prosp_hl,Yes,3DPdC1LtyaruuFZ,32252,,Yes,
10,8,Completely clear,Yes,2643,prosp_hl,Yes,DBeKs1tWXXz8OEd,8455,,Yes,
20,8,Clear,No,2529,prosp_hl,Yes,vUNLKO5Y6HmhX2P,9043,,Yes,
1,2,Completely clear,No,1024,prosp_hl,Yes,DZU784DnSmri4Le,2250,,Yes,
30,32,Somewhat unclear,No,3166,prosp_hl,Yes,viJfyD4BXFIediJ,32002,,Yes,
15,16,Completely clear,No,3832,prosp_hl,Yes,pfrPFV9MEEXkeNn,16256,,Yes,
1,1,Completely clear,No,2522,prosp_hl,Yes,X0L6vCjOcA7eFTx,1001,,Yes,
7,6,Somewhat unclear,No,766,prosp_hl,Yes,GzkH972F0pCSNcQ,6002,,No,
120,64,Clear,No,3983,prosp_hl,No,r5BLKOvxBtzlVrh,64252,,No,
3,3,Completely clear,Yes,2390,prosp_hl,Yes,vSOdRy67RsG5FAc,3252,,No,
2,2,Clear,No,988,prosp_hl,Yes,M2yBmrzjA8r2IrX,2106,,Yes,
15,24,Completely clear,No,2562,prosp_hl,Yes,5cb9yGFAMiKIPCk,24505,,No,
3,1,Clear,No,3994,prosp_hl,No,CmxnlKCvH1QLxXj,1251,,No,
30,8,Completely clear,Yes,4071,prosp_hl,Yes,uPXXmpNBbwfDbnB,35077,,Yes,
3.6,4,Completely clear,No,2094,prosp_hl,No,Xj2NmrGAiOLluf3,4252,,Yes,
10,16,Somewhat unclear,No,2318,prosp_hl,No,5nczdDVvIQv1BK4,16250,,No,
30,16,Completely clear,No,2388,prosp_hl,Yes,rZxWzDXY7ZY1kq3,16254,,Yes,
60,48,Clear,No,2472,prosp_hl,Yes,I0t15SNFGZaMlJE,48112,,Yes,
6,12,Completely clear,No,2620,prosp_hl,Yes,TUXJ96AMOCGz7sJ,12002,,Yes,
25,32,Completely clear,No,3289,prosp_hl,Yes,24MUByBuuljwXPP,33569,,No,
3,48,Completely clear,Yes,144,prosp_hl,Yes,V77Iu2g8VN9lvO1,127419,,Yes,
26,24,Completely clear,No,3822,prosp_hl,Yes,ksMvieXaDyZCjFm,24254,,Yes,
4,2,Completely clear,No,2585,prosp_hl,Yes,T05YnmsUaErGNtY,2172,,Yes,
7,8,Completely clear,No,3660,prosp_hl,Yes,lXX7kIvNhPv2DTY,12172,,Yes,
1,2,Completely clear,No,2475,prosp_hl,Yes,kYq6M0dAku5eh95,2502,,Yes,
2,4,Completely clear,No,899,prosp_hl,Yes,RRIdnzNoNfrjsxE,4501,,Yes,
3,3,Completely clear,No,3158,prosp_hl,Yes,cTEJsdFRkeOsI8v,3251,,No,
55,64,Completely clear,Yes,2130,prosp_hl,No,GJZSlMr6YY90879,64253,,Yes,
0.1,1,Completely clear,Yes,2563,prosp_hl,Yes,a20NJoQygmWOahY,1252,,Yes,
5,4,Clear,No,3505,prosp_hl,Yes,vY6hSjLEH7J2v4L,4004,,Yes,
5,8,Somewhat unclear,No,740,prosp_hl,Yes,1iA7HURJkVqiWpq,8257,,Yes,
15,16,Clear,No,1699,prosp_hl,Yes,zGwuk3HzxUCOwF3,16251,,Yes,
600,32,Clear,Yes,4122,prosp_hl,Yes,9B53vc9U4YqsaMq,32000,,Yes,
10,8,Completely clear,No,2712,prosp_hl,Yes,KtYVYwNgoOqrQrb,8001,,No,
5,4,Completely clear,Yes,717,prosp_hl,Yes,M2iVq2oEu54wogN,4452,,Yes,
60,48,Very unclear,No,2593,prosp_hl,Yes,CHTUFxqy8R4Hn65,104625,,Yes,
9,12,Clear,No,3962,prosp_hl,Yes,nv851C90U9wA0rW,12002,,Yes,
10,12,Completely clear,Yes,3248,prosp_hl,Yes,np5mqyzukiwFIyA,12098,,Yes,
3,2,Completely clear,No,2044,prosp_hl,Yes,wrt8itQ2vy2uFmm,2002,,Yes,
45,64,Completely clear,No,1878,prosp_hl,Yes,HtMpL8grjrw9xhL,83814,,Yes,
4,16,Clear,Yes,1888,prosp_hl,Yes,FiTEvOAuyrIm3JY,16008,,No,
5,6,Completely clear,No,1535,prosp_hl,Yes,BzD3H1kh5NTKiBW,6251,,Yes,
2,4,Completely clear,No,2272,prosp_hl,Yes,tU4iSou5by36jLp,4971,,Yes,
