TimeEstimation,TimeReal,clear_description,counting,current_trial,current_type,english_first,user_id_concent,video_really_lasted,TimeOfDay,alone,knew
8,6,Completely clear,No,4100,prosp_ll,Yes,wDvqzbqOAWTmWeM,23452,,,
4,1.5,Clear,No,3411,prosp_ll,Yes,9qzaeY3sII6Qoq0,2262,,,
1,1.5,Clear,No,2436,prosp_ll,Yes,3Xy9DxwvgwXsr4h,1502,,,
2,3,Clear,No,3412,prosp_ll,Yes,zofHOIl0tNXUJmh,3136,,,
15,16,Completely clear,No,2330,prosp_ll,Yes,Nw6w4P3zQhdJKFb,16252,,,
45,48,Completely clear,No,982,prosp_ll,Yes,K4HVLOFIf5E0ZeR,75663,,,
52,24,Completely clear,No,3522,prosp_ll,Yes,9DGUzaAr97TSmbM,75299,,,
3,1.5,Clear,No,3043,prosp_ll,Yes,zUBZxBXXW8cC4fo,1796,,,
1,1,Completely clear,No,2782,prosp_ll,Yes,QOc3pJ4bzftkwFu,1252,,,
2,1,Clear,No,307,prosp_ll,Yes,6tYQHrIdvqVU6oz,796,,,
25,32,Completely clear,No,360,prosp_ll,Yes,pX9oc4ipK6JZ6YB,32001,,,
4,6,Completely clear,No,1489,prosp_ll,Yes,00yureZW04YUFDf,6690,,,
10,6,Completely clear,Yes,848,prosp_ll,Yes,46Dkv4NoRWwPPHE,6251,,,
1,1.5,Completely clear,No,3857,prosp_ll,Yes,1f0t7b4nfwso2Ct,1750,,,
24,24,Completely clear,No,1294,prosp_ll,Yes,a7SkPALFLFQwDoZ,24002,,,
10,4,Completely clear,No,401,prosp_ll,Yes,ginlr8NFbCAgOGm,4295,,,
45,32,Completely clear,No,636,prosp_ll,Yes,Z9AGXp3Lfvrjivg,32454,,,
0.5,1,Completely clear,No,843,prosp_ll,Yes,CaKilPr72qpSqyG,1253,,,
100,12,Completely clear,No,3856,prosp_ll,Yes,Wo9ItKfPizWMpI4,86323,,,
0.3,1.5,Completely clear,No,2011,prosp_ll,Yes,07NerEXxz3cxeE4,1751,,,
45,48,Clear,No,2583,prosp_ll,Yes,wxTRGx4isXOw8PC,48002,,,
15,8,Completely clear,No,2017,prosp_ll,Yes,2ypJCOAUVPR7XFi,8005,,,
2,1,Completely clear,No,2516,prosp_ll,Yes,ruI63V7cHk9lhnI,1002,,,
2,3,Somewhat unclear,No,3745,prosp_ll,Yes,jL0KL0VvJRz4izX,3045,,,
8,8,Completely clear,No,3698,prosp_ll,Yes,CjymcipGMYMscxY,8251,,,
3,3,Completely clear,No,297,prosp_ll,Yes,j2JjEHvAZhNiT92,4400,,,
28,16,Completely clear,No,818,prosp_ll,Yes,2mGWxjrDNSIOBmT,17989,,,
30,16,Completely clear,No,3307,prosp_ll,Yes,DqnVbDsP8qM2xbo,40868,,,
3,1,Completely clear,No,4266,prosp_ll,No,b1pSnztKFZHBZ3U,5110,,,
89,32,Completely clear,No,1870,prosp_ll,Yes,oF6OCMRIrCM31sD,32003,,,
2,1.5,Completely clear,No,416,prosp_ll,Yes,3LHLEnKdqbW8kEA,1632,,,
70,8,Completely clear,No,356,prosp_ll,Yes,Gb5LCEq7X4Dyz7r,23778,,,
30,24,Clear,Yes,2986,prosp_ll,Yes,V1RWWzNYCKf15Vy,33032,,,
