TimeEstimation,TimeReal,clear_description,counting,current_trial,current_type,english_first,user_id_concent,video_really_lasted,TimeOfDay,alone,knew
3.5,8,Completely clear,No,69,retro_hl,Yes,DfLtUeWGEE0MqSH,8133,16,Yes,No
4,3,Completely clear,No,113,retro_hl,Yes,b3MK9mS3RTqyJj7,3108,18,Yes,No
2,3,Clear,No,134,retro_hl,Yes,eexa1Hbqjgzug55,3002,13,No,No
73,32,Clear,No,137,retro_hl,Yes,Ca64p67fJ7YmGfR,32252,15,Yes,No
90,64,Somewhat unclear,No,136,retro_hl,Yes,5W7Zh7noT2u5KNx,64002,19,Yes,No
20,24,Clear,No,52,retro_hl,Yes,JE0MC4mCBigL1qB,89349,13,Yes,No
8,8,Clear,No,119,retro_hl,Yes,w9mE5gz57r0S3yl,8252,13,No,No
7,8,Completely clear,No,115,retro_hl,Yes,2QEUwZuowy4HnUp,8002,11,Yes,No
10,12,Somewhat unclear,No,44,retro_hl,Yes,0QljijAU3nwpd26,44942,11,Yes,No
60,64,Clear,No,50,retro_hl,Yes,B1fJGlBo9LMC5z2,64001,12,Yes,No
5,4,Completely clear,No,89,retro_hl,No,Yy0cdGOuRkqSL8d,4004,15,No,No
3,4,Somewhat unclear,No,57,retro_hl,Yes,Dvojruu0FPcwQwu,4006,12,No,No
15,6,Clear,No,244,retro_hl,Yes,AAC2DyQgTPBwYVU,6253,10,Yes,No
50,32,Completely clear,No,127,retro_hl,Yes,TOlxn9nzcxbyyZd,32154,17,Yes,No
10,48,Somewhat unclear,No,101,retro_hl,Yes,PbK1LxtFm8xiklq,60247,17,Yes,Yes
20,12,Completely clear,No,125,retro_hl,Yes,7I3jZ9WfPFZVp6w,12120,11,No,No
20,16,Completely clear,No,103,retro_hl,Yes,TyprNNanhvcS379,17614,17,Yes,No
1,1,Completely clear,No,109,retro_hl,Yes,RzL1hmUaYVgqkBt,1666,10,Yes,No
3,2,Somewhat unclear,No,3541,retro_hl,Yes,bNOuiH7K5c7GKgn,2120,18,No,No
90,12,Clear,No,3864,retro_hl,Yes,gZwrB3U1zhzw5Br,50751,1,Yes,No
6,8,Clear,No,2461,retro_hl,Yes,tHNRJGcwTaU63ov,14753,8,Yes,No
1,2,Completely clear,No,165,retro_hl,No,BYsUEEjqHWlROQy,2092,20,Yes,No
2,1,Clear,No,2439,retro_hl,Yes,f2bsShS50R3jVh6,1253,10,Yes,No
4,6,Clear,No,3957,retro_hl,Yes,GUDKi5KKi0gdAza,6251,10,No,No
1,1,Somewhat unclear,No,3805,retro_hl,Yes,wseWYHOfbXjusn3,1255,2,No,No
3,12,Somewhat unclear,No,2415,retro_hl,Yes,BjLsbrAhUMnmr3u,12184,10,No,No
3,3,Clear,No,4012,retro_hl,No,qjykeHF0QSokRS5,3003,11,No,No
1,1,Somewhat unclear,No,3914,retro_hl,Yes,PC8rHTYLQqemKTN,1251,18,Yes,No
10,12,Clear,Yes,2976,retro_hl,Yes,OfA9qT4Yf3tC2ZM,12253,9,Yes,Yes
40,32,Somewhat unclear,No,3190,retro_hl,Yes,VdCuqemEcizCyIG,32001,9,Yes,No
30,48,Completely clear,No,155,retro_hl,Yes,OqLvDeckKrwGUu3,48435,11,Yes,No
40,64,Clear,No,427,retro_hl,Yes,yuohyHYf0HFjB9J,64252,11,No,No
30,48,Completely clear,No,862,retro_hl,Yes,GsrXPl1dIECbyZ7,48006,8,Yes,No
10.8,24,Very unclear,No,3120,retro_hl,Yes,5L8KpsQ7rUiRWDa,62738,5,Yes,Yes
10,12,Clear,No,734,retro_hl,Yes,3IQecfrVwIUkFhp,12255,9,Yes,Yes
30,16,Clear,No,690,retro_hl,No,ooNPK1VWY33Xmsl,16256,17,No,No
0.3,1,Clear,No,757,retro_hl,Yes,Ex2JhRq2dBPfAXQ,1001,12,No,No
8,3,Completely clear,No,2963,retro_hl,Yes,ckQyeQMOEuGcH3F,3253,2,No,No
20,8,Clear,No,2296,retro_hl,Yes,Pyt6XyWsK0lZSrj,8252,15,No,No
15,4,Clear,No,2912,retro_hl,Yes,2LIOx5y2xmvuggR,4252,15,Yes,Yes
60,48,Completely clear,No,1984,retro_hl,Yes,OhcIfUKx7sJfaV0,48010,1,Yes,No
10,16,Somewhat unclear,No,818,retro_hl,No,CCg46RKTebq5pH7,16251,19,Yes,No
8,3,Clear,No,482,retro_hl,Yes,3xBS50ZdjNPwBqV,3002,18,Yes,No
45,64,Completely clear,No,3904,retro_hl,No,AQlmWScybUvv7sL,64165,15,Yes,No
15,24,Completely clear,No,207,retro_hl,Yes,F7HI8Mo8rK8PCBO,24259,2,Yes,No
25,16,Completely clear,No,3383,retro_hl,Yes,RjRku1QBM7D5LOS,16253,14,Yes,No
180,48,Completely clear,No,2025,retro_hl,Yes,l2r2U4klfI14VhF,97413,15,Yes,Yes
14,8,Completely clear,No,1168,retro_hl,Yes,0CKcSE9kKHj9sRZ,8002,4,Yes,No
7,12,Clear,No,481,retro_hl,Yes,f5ms6TcxbEMgsBy,12252,9,No,No
15,48,Clear,No,2167,retro_hl,Yes,gXzzrBZkdoLSIPf,48004,10,Yes,No
8,2,Clear,No,3086,retro_hl,Yes,8Ui5u9uDaiyeG3d,2002,8,No,Yes
2,3,Clear,No,710,retro_hl,Yes,DUcFI3NmTajSN9M,3251,13,Yes,No
10,8,Completely clear,No,2298,retro_hl,Yes,eBqtRWFtEujuHLk,8002,17,Yes,No
10,8,Completely clear,No,291,retro_hl,Yes,Mnt8TpuhNK5Keb4,10986,12,No,No
25,32,Clear,No,2860,retro_hl,Yes,cShpAlVxVH9Zp6O,32251,10,No,No
10,12,Clear,No,4104,retro_hl,Yes,TTud9GmF7AboQop,12001,15,No,No
2.7,4,Somewhat unclear,No,383,retro_hl,Yes,VIbTTbyeXTsR7gE,4597,8,Yes,No
2,1,Completely clear,No,686,retro_hl,Yes,VpjxdMj36YlDCKH,1001,14,No,No
3,4,Completely clear,No,484,retro_hl,Yes,jhNy8mRTpjM5yzI,4001,15,Yes,No
10,12,Somewhat unclear,No,630,retro_hl,Yes,QySWfoZt7rCWULV,12252,11,Yes,No
