TimeEstimation,TimeReal,clear_description,counting,current_trial,current_type,english_first,user_id_concent,video_really_lasted,TimeOfDay,alone,knew
300,48,Completely clear,No,64,retro_ll,No,4VCppZnT3BnDzt7,219563,18,nan,No
5,8,Somewhat unclear,No,95,retro_ll,Yes,RgeGb7p0bavxyLS,11160,8,nan,No
8,6,Completely clear,No,122,retro_ll,Yes,7tg195qJC29gJ10,6003,12,nan,No
5,4,Completely clear,No,192,retro_ll,Yes,kYsRzPw5WWxC0n4,4004,15,nan,No
15,12,Completely clear,No,79,retro_ll,Yes,vfbjEVmbyyKu6R4,12002,11,nan,No
7,6,Clear,No,73,retro_ll,Yes,RgM72s0tLE3sFOR,6502,17,nan,No
30,3,Clear,Yes,76,retro_ll,Yes,8qa7HP0JTsrLYdZ,4001,15,nan,Yes
50,32,Completely clear,No,2633,retro_ll,Yes,6c9i39Mb7oAhi4j,32160,14,nan,No
20,16,Completely clear,No,4096,retro_ll,Yes,8wq921jUMWvmMLD,16252,12,nan,No
20,24,Completely clear,No,2356,retro_ll,Yes,uNbIuramZeD8zzl,24581,11,nan,No
45,48,Clear,No,623,retro_ll,Yes,Hjp7d7MReQrXMpC,48006,11,nan,No
1,1,Completely clear,No,816,retro_ll,Yes,jpfmDwXYz78fpdc,1251,6,nan,Yes
2,1,Somewhat unclear,No,2147,retro_ll,Yes,9YLL8IANTxrr5NB,1005,12,nan,Yes
1,2,Completely clear,No,3086,retro_ll,Yes,Nr6HR2grTRqRuDE,2252,2,nan,No
4,6,Clear,No,4252,retro_ll,Yes,a77BKgIYeO11xEQ,6250,10,nan,No
0.5,4,Clear,No,439,retro_ll,Yes,SnbKaZ49YdBl4Id,4076,16,nan,No
6,8,Completely clear,No,2739,retro_ll,Yes,wB8LfRN0oLAA1QU,8251,14,nan,Yes
3,3,Somewhat unclear,No,325,retro_ll,Yes,cfczydx78eBcoPi,3001,15,nan,No
45,16,Completely clear,No,2771,retro_ll,Yes,gMajbJ11bbIUuoO,16252,12,nan,No
